grand_parent_id,dwh_party_id
d85f86d1-5292-4290-81ee-e773af63522a,11209507
bdcd4f6e-a093-4a37-8c5e-455267f70b5b,11549191
dd47bac4-232e-47d9-bc75-56d5dd32c5f9,10951431
8479c7dc-f6b6-4511-93e2-7d05cc0783be,9740382
3b652510-9ba4-4dc8-94ab-009df8954774,12882802
82e238d5-c045-4a26-9752-d28044620683,9320064
3eda6ecb-a9df-42f6-b32a-d5c9de47791c,8932099
705cf4ba-a8a5-4aa5-931c-934a19a4313f,12405057
8dad01cb-9f32-4b97-a696-cbe738ab11a5,6259404
5fe5cb01-74a4-42e4-b668-bb10fbac5fd3,11021921
ac07a858-0ddb-434a-8e0b-56cbb276e6e9,12735818
b72df87e-1e72-4c77-8d3a-01c9ec5aa862,4594003
0242489f-a011-4e20-a2b4-a4c44ff9a6c4,9119732
086fa719-285c-419d-bafe-b8bd9a1f56ee,7623179
ce09f8c8-9bbe-43c9-94e1-0166c72694c2,1448198
8afc2f29-4443-479e-b29a-b4628b7a9d17,3813232
9166d301-53d2-4e1d-83b2-41c512c334e6,11672520
e157f560-e4c2-4038-921f-893a7598f68d,1961195
db35db8a-756d-4589-a98f-f43ed053a9ee,8295575
9fda72a7-eb6e-46ed-a85a-045560353942,12997552
3e3a3a4c-b8af-40d1-8840-1b712d1b46f9,4284091
cf57a91f-03f3-4bf3-b406-8d0c09d31827,12195739
15f14dd3-b2b2-43f4-b3c6-a370381969a5,5360749
3f8d9d17-b680-485e-8243-cbe5d7c0228e,3097814
2a010370-727a-40da-a20f-f60d7967d282,8324543
6823e802-d30a-49d4-acd0-ad8cc205e735,4108353
380d7b8c-5b93-4f77-a278-c9e64c8bce5e,10664051
33723df6-0e93-40b8-9fe5-61dd9457f88c,11231318
f8b123da-ef93-4587-b8e0-f8461bc2109c,12613484
7d66dc0a-a857-4eaa-82e2-6e36726e17e9,12565819
137baa6f-e17e-48f3-b42a-5c8621d20fd2,8094403
cbfb6818-d7b4-4158-9b65-ef5f4b890e29,8507895
38d1e7b8-9456-462b-9d04-911089fef1e3,6325001
133b36a7-e26a-4435-b53b-ab4318c1ab99,12616569
adae1ad4-bcd9-4f69-8e06-f21939e89fff,10975621
179872ca-9728-4e61-b1f1-72549173c9cc,5421846
e7f7028a-9104-48bc-99a0-e4b0c6aceb63,11164834
2e60bb5d-90f2-4a01-aec4-05b4ddcd38bd,10907139
d065a0fc-27cb-4289-8889-c9749c8703c7,1591917
263ff5d6-107a-422e-99a0-578290f78faa,12783102
c7d1654b-a5f1-41d8-908d-cb49f60ea68d,10577748
a4733ec2-e673-4443-9161-608ce58b2caa,8533698
7a308211-4924-4561-ad08-6b989ca6000d,11036727
359f0ed4-4a34-42ca-8a9f-022acb5553d1,12463961
3ed0b8ba-2f99-472c-8fce-39643215bf3c,5094514
d3748c46-ac41-4898-8399-a2946d7ebe50,11730630
6cdb718e-cdfd-462f-b406-76da96b75219,11274650
260b3b11-e014-4713-b70a-86fb364c04be,12708741
fce5f3cd-032b-4a1e-83a7-1f4ac30feb9c,12394510
6cdb718e-cdfd-462f-b406-76da96b75219,10277871
d966fb7c-66c7-40ee-895c-41cd7b3b462f,12564986
48f2ef12-bcac-4567-b294-ba7fb28205b3,11967725
8cccb857-8c52-4459-a6fb-bcf4a8aeb6bd,11314315
4b7c420b-a4af-41c9-83d1-43774b4e445b,12238978
71dfb309-cde6-450c-83fa-b68af0457515,2018623
a62ccbd2-97bb-4fc8-bff7-47bf5db619b5,2172180
0e4547fc-3ecc-4225-b096-b7d10d9c6460,3672897
733048e7-4caa-49ea-8647-e2632c3c7eda,11865699
01dd1202-ab4a-487c-93cc-ac49db5154ef,8700150
4797eedd-be51-4dbc-8914-e625c571ca01,10862322
e2be9da7-ea73-449a-a04d-a6e679a7e006,12022243
f31ef890-6c1f-44cd-86b9-ce904323d56a,12906376
989193fe-1ea2-4fdb-abcd-fb24dfeb3763,10856504
d966fb7c-66c7-40ee-895c-41cd7b3b462f,10871629
5757fe4d-fefc-47cb-be52-1e1c6e15dd5f,11305488
b2a2a81c-2147-496a-ac16-3fb234c7e6d9,12943443
cc3b3f88-f623-4352-901a-a4a3253d8985,11640538
d3748c46-ac41-4898-8399-a2946d7ebe50,12935874
2b9140b7-9120-4af3-ae32-1ff321925428,1849263
d42ac8be-ddae-48e9-8ecd-be565f2f71dd,12761244
81b9ce5c-5346-475d-8bfb-85964cb89144,12595896
b41a4af2-183e-4b17-8bf9-626403bb53cf,12750615
5dce6a28-10c1-4c8e-9e69-9fc6ef9cbdeb,9119732
35de1498-59f1-47be-a600-63a20a0913d1,11492097
bbf90f0e-0fbf-4868-a090-fd9637afd9fc,12128473
f791150a-9952-4d36-ab44-1fa1115cadc1,2723373
82e238d5-c045-4a26-9752-d28044620683,12896181
a3b74954-6367-42e5-b9bc-d23ebf925801,3094387
25d017f5-9cbe-4f55-8551-25149a981063,3435348
d27fe3ab-378b-43ee-af90-f6eec39ef4b4,12574094
03456b98-a5a0-456a-b521-c74aeb0f5ced,8439966
a2a9f015-853e-4a4b-b62b-6fc51fca5fc9,11435857
6cdb718e-cdfd-462f-b406-76da96b75219,12924436
65542e1d-9246-42d1-ad55-eb57b6ae2def,9406955
cb2a976b-89f7-444d-85da-31f83de8219f,3695039
495a4ebe-7442-4c0e-90e6-c191a64c4e14,12750203
e26fe897-3c87-46d4-a7ba-ba2bf673aed2,10303747
f2be0c0e-8896-4f56-9ed8-de3f7ad990ad,11713464
25803c12-3e26-4c73-9b99-b1cd53ff6394,11346187
ed1f1701-9ec4-4b81-81c2-74cff1b5f681,8127697
b52a0738-6bd6-4893-97dd-cd1530128c79,8470413
46c91ccc-eaa3-4b7a-8c83-c9d9d9b645d0,12493380
3eda6ecb-a9df-42f6-b32a-d5c9de47791c,8205350
9b6d5387-f7b1-4404-9174-45cef2b2bb5d,4112817
1b0fb535-7fe8-4271-a2e3-00b3be787c91,8084579
0a6dc651-90ae-48a8-9e11-16ac2ccd4fd2,10050586
6cdb718e-cdfd-462f-b406-76da96b75219,12948152
88ecde19-7c4c-478e-901a-8b0144570823,6285992
4969a481-3e2f-42cc-a6ce-fedf1423bb0e,11887513
ca0f317e-0f14-4116-a9f4-61e2165e925b,8915655
2b3b0536-ce77-4402-8660-b254118eb31e,3616293
1eff7538-2b4a-4970-8046-90284e28c6f1,11635723
7fb9c2ec-cdbc-40b4-b86e-23f1cb0d213d,3932542
50881e93-3b57-405c-a293-2b8873448f28,11359481
51da00c2-81a6-4a30-9cd4-75dcf759453b,4775080
3abe3270-428c-4575-8147-e1552ec34671,2018682
a60c1481-aae7-4495-bb48-1d99c555cb0b,12496691
c2fcb4c9-4391-4866-bf0c-ec0648a0e7d7,2230815
90d9e7c1-166a-4666-9430-b2f396c5da3b,3705081
7e715f3c-e66c-477e-9ee1-a078eb98e96b,11940509
e893e7af-190b-4452-9b0e-bcc1db60a2d2,3002842
2a094de2-31a9-41f1-a4f0-929972338475,8957543
cbfb6818-d7b4-4158-9b65-ef5f4b890e29,3412593
ca0f317e-0f14-4116-a9f4-61e2165e925b,3671213
5757fe4d-fefc-47cb-be52-1e1c6e15dd5f,12215853
5173a17d-ff99-4759-80ea-15dcf0305110,5687132
1eb6d1c9-f188-42a6-8681-3676ce84d03b,10137339
74e58f06-8280-4dd3-b8a0-baa0a0033a80,8811460
6d2418b8-7e20-4de8-9634-ae1b1f56920c,11862894
a60c1481-aae7-4495-bb48-1d99c555cb0b,4454525
e55bf31f-85a0-4db6-8e0c-d2cd7d61e8e7,2566411
6cdb718e-cdfd-462f-b406-76da96b75219,12610401
ba49cde0-8964-47c9-9b66-252bd1714791,12495921
ae7ed58b-c829-4f81-9055-80a875ead95f,12461314
70026996-0ae1-4c0a-9fe1-c490a2290a8e,11822632
9d836546-e45a-4cf5-9145-8189568c6361,9403848
d5b2b9f5-b3be-4882-ba8b-f2089b822e50,3329518
62da500e-9e88-457b-a031-ec80b2c6b68c,8532664
b8be64f1-24cd-48dd-9d0f-0d4586cb2d59,12465893
30e9c025-a76d-40a0-8faa-5a23bc9f7d90,12678940
6cdb718e-cdfd-462f-b406-76da96b75219,1038962
31c7378c-e725-4b0c-b35c-dfe9561a6ff6,11738628
fbd82b0d-2f92-486e-9e6c-453c5fe7ac14,12621351
1fe7e860-9fee-484e-a724-7c3cf23d0c2c,12682893
5e197262-6c7f-4ae2-bd37-3e1ece956d6b,8306921
a673157d-a6d6-433e-b44b-92c447fdcec7,12274728
f7e2e6a6-48ae-4767-8e82-7363628453a6,7963284
ac87b4d6-1a73-44e2-8d69-16701d0dcad6,12355561
c72ba0a4-f32d-4735-94bc-6ede12a736d1,12432058
0cd38ed9-95db-41f9-af3c-80c3571f6de1,6631492
b52a0738-6bd6-4893-97dd-cd1530128c79,12859254
b9461156-c9d8-47fa-a515-1042c58d87e6,12077962
7b27cb34-b4a2-464a-8c4c-d91600fadf41,10237215
202d86ae-d65b-460f-9018-9de6ce985724,12551992
0fc3aee7-a742-43e4-93a6-1726ce46fbfc,12604918
f3e7cf8c-2810-4127-b4e5-5b2d6e5e8477,10798162
0ee006ec-68aa-4c69-95a0-39ac3fef7180,2694073
68a8b7aa-2e8e-4ff2-9272-1266687eca5d,12573366
e6489d9f-b8f4-44a6-a0e2-a712b8390610,5554486
312c3b0f-1ab0-4341-8e67-1dd5d0015dfb,1148231
9a93a73b-9508-4a40-87a1-b78d4e836ce3,5666901
03e8db85-2b1c-41e6-bcf5-85a365af9740,8358236
ec9a8937-2469-470e-b21d-440b547559d0,12016488
8ceb0a12-6d35-47b4-9dd8-34707d370476,12572333
d3780e03-3835-42cb-9811-54cf421efb4b,12908317
380d7b8c-5b93-4f77-a278-c9e64c8bce5e,12039033
b41a4af2-183e-4b17-8bf9-626403bb53cf,11074014
69be9ac3-4fe4-4927-b654-8ca83c7a0c00,8554677
62683da9-2743-4b59-97f4-db394f08a22b,12608478
483cba3b-a928-482a-91d2-a200ae1a3908,4015557
26e615ad-39b3-459b-8ba7-57095198a062,8941541
19e995dd-9ae4-4595-ab67-28818065308a,4481702
1e9bf572-cd0d-4c2f-8945-80882ef97ce2,7623179
9a93a73b-9508-4a40-87a1-b78d4e836ce3,4078758
ca1b7f8e-c011-42e8-a598-246a23a410dd,12528778
